,id,date,city,pop,shop,brand,container,capacity,price,quantity,Comp
4194,4194,30/11/15,Assam,667237,Dealer_3,Mango,plastic,600ml,35,14539,0.81
4195,4195,30/11/15,Assam,667237,Dealer_3,Mango,plastic,1.2lt,65,14427,1.39
4196,4196,30/11/15,Assam,667237,Dealer_3,Mango,plastic,250ml,15,20202,0.42
4198,4198,30/11/15,Assam,667237,Dealer_3,Lemon,plastic,250ml,10,11802,0.69
4199,4199,30/11/15,Meghalaya,141732,Dealer_5,Mango,Tetra pak,200ml,10,19475,1.17
4200,4200,30/11/15,Meghalaya,141732,Dealer_5,Club soda,plastic,600ml,20,12783,3
4202,4202,30/11/15,Meghalaya,141732,Dealer_5,Apple,plastic,250ml,20,30591,0.47
4203,4203,30/11/15,Meghalaya,141732,Dealer_5,Litchi,can,200ml,10,36016,0.33
4204,4204,30/11/15,Meghalaya,141732,Dealer_5,Mango,plastic,600ml,35,32045,0.63
4205,4205,30/11/15,Meghalaya,141732,Dealer_5,Mango,plastic,1.2lt,65,20221,1.07
4206,4206,30/11/15,Meghalaya,141732,Dealer_5,Mango,plastic,250ml,15,31220,0.38
4207,4207,30/11/15,Meghalaya,141732,Dealer_5,Lemon,plastic,600ml,20,17877,0.77
4209,4209,30/11/15,Meghalaya,141732,Dealer_5,Lemon,plastic,250ml,10,30236,0.33
4210,4210,30/11/15,Manipur,351650,Dealer_4,Apple,plastic,600ml,35,14144,1.29
4211,4211,30/11/15,Assam,667237,Dealer_1,Mango,plastic,1.2lt,65,18098,1.33
4212,4212,30/11/15,Assam,667237,Dealer_1,Mango,plastic,600ml,35,39658,0.62
4213,4213,30/11/15,Meghalaya,141732,Dealer_5,Apple,plastic,600ml,35,10141,1.44
4214,4214,30/11/15,Manipur,351650,Dealer_4,Apple,plastic,250ml,20,26003,1.37
4216,4216,30/11/15,Meghalaya,141732,Dealer_5,Zeera cola,can,300ml,20,9430,0.85
4217,4217,30/11/15,Assam,667237,Dealer_3,Lemon,plastic,600ml,20,18630,0.59
4218,4218,30/11/15,Nagaland,167001,Dealer_6,Lemon,plastic,600ml,20,34409,0.81
4219,4219,30/11/15,Meghalaya,141732,Dealer_5,Zeera cola,plastic,200ml,12,9819,2.72
4220,4220,30/11/15,Assam,667237,Dealer_1,Apple,plastic,250ml,20,17450,1.84
4222,4222,30/11/15,Manipur,351650,Dealer_4,Lemon,plastic,600ml,20,23969,0.97
4223,4223,30/11/15,Assam,667237,Dealer_3,Mango,Tetra pak,200ml,10,15985,1.13
4224,4224,30/11/15,Nagaland,167001,Dealer_6,Club soda,plastic,600ml,20,27334,2.34
4225,4225,30/11/15,Assam,667237,Dealer_1,Lemon,plastic,250ml,10,26082,0.44
4226,4226,30/11/15,Assam,667237,Dealer_1,Zeera cola,can,300ml,20,16881,0.59
4227,4227,30/11/15,Manipur,351650,Dealer_4,Mango,plastic,1.2lt,65,31140,0.98
4228,4228,30/11/15,Assam,667237,Dealer_3,Club soda,plastic,600ml,20,14421,2.18
4229,4229,30/11/15,Meghalaya,141732,Dealer_5,Litchi,plastic,250ml,15,18521,0.98
4230,4230,31/12/15,Assam,667237,Dealer_1,Apple,plastic,600ml,35,17597,1.13
4231,4231,31/12/15,Assam,667237,Dealer_1,Zeera cola,plastic,200ml,12,11120,3.04
4232,4232,31/12/15,Assam,667237,Dealer_1,Zeera cola,can,300ml,20,14622,0.88
4233,4233,31/12/15,Assam,667237,Dealer_1,Club soda,plastic,600ml,20,18222,2.21
4234,4234,31/12/15,Assam,667237,Dealer_1,Litchi,plastic,250ml,15,18457,1.05
4235,4235,31/12/15,Assam,667237,Dealer_1,Apple,plastic,250ml,20,17867,1.93
4236,4236,31/12/15,Assam,667237,Dealer_1,Litchi,can,200ml,10,48586,0.33
4237,4237,31/12/15,Assam,667237,Dealer_1,Mango,plastic,1.2lt,65,32058,0.95
4238,4238,31/12/15,Assam,667237,Dealer_1,Mango,plastic,250ml,15,25521,0.41
4239,4239,31/12/15,Assam,667237,Dealer_1,Lemon,plastic,600ml,20,14536,1.01
4241,4241,31/12/15,Assam,667237,Dealer_1,Lemon,plastic,250ml,10,21493,0.59
4242,4242,31/12/15,Arunanchal,138560,Dealer_2,Zeera cola,can,300ml,20,26147,0.67
4243,4243,31/12/15,Arunanchal,138560,Dealer_2,Mango,Tetra pak,200ml,10,25620,1.16
4245,4245,31/12/15,Arunanchal,138560,Dealer_2,Litchi,plastic,250ml,15,23923,1.02
4246,4246,31/12/15,Arunanchal,138560,Dealer_2,Apple,plastic,250ml,20,35809,1.35
4247,4247,31/12/15,Arunanchal,138560,Dealer_2,Mango,plastic,600ml,35,61583,0.54
4248,4248,31/12/15,Arunanchal,138560,Dealer_2,Mango,plastic,1.2lt,65,22806,1.39
4249,4249,31/12/15,Arunanchal,138560,Dealer_2,Lemon,plastic,600ml,20,22160,0.95
4251,4251,31/12/15,Arunanchal,138560,Dealer_2,Lemon,plastic,250ml,10,46204,0.4
4252,4252,31/12/15,Nagaland,167001,Dealer_6,Apple,plastic,600ml,35,27854,1.18
4253,4253,31/12/15,Nagaland,167001,Dealer_6,Zeera cola,plastic,200ml,12,19833,2.57
4254,4254,31/12/15,Nagaland,167001,Dealer_6,Zeera cola,can,300ml,20,23179,0.83
4255,4255,31/12/15,Nagaland,167001,Dealer_6,Mango,Tetra pak,200ml,10,50375,0.93
4256,4256,31/12/15,Nagaland,167001,Dealer_6,Club soda,plastic,600ml,20,22337,2.99
4258,4258,31/12/15,Nagaland,167001,Dealer_6,Litchi,plastic,250ml,15,38434,0.93
4259,4259,31/12/15,Nagaland,167001,Dealer_6,Apple,plastic,250ml,20,28458,2.1
4260,4260,31/12/15,Nagaland,167001,Dealer_6,Litchi,can,200ml,10,85194,0.32
4261,4261,31/12/15,Nagaland,167001,Dealer_6,Mango,plastic,600ml,35,57243,0.61
4262,4262,31/12/15,Nagaland,167001,Dealer_6,Mango,plastic,1.2lt,65,41972,1.12
4263,4263,31/12/15,Nagaland,167001,Dealer_6,Mango,plastic,250ml,15,68817,0.34
4264,4264,31/12/15,Nagaland,167001,Dealer_6,Lemon,plastic,600ml,20,32520,0.89
4266,4266,31/12/15,Nagaland,167001,Dealer_6,Lemon,plastic,250ml,10,46601,0.52
4267,4267,31/12/15,Manipur,351650,Dealer_4,Apple,plastic,600ml,35,24083,0.95
4268,4268,31/12/15,Manipur,351650,Dealer_4,Zeera cola,plastic,200ml,12,17196,2.38
4269,4269,31/12/15,Manipur,351650,Dealer_4,Zeera cola,can,300ml,20,20300,0.88
4270,4270,31/12/15,Manipur,351650,Dealer_4,Mango,Tetra pak,200ml,10,25675,1.24
4271,4271,31/12/15,Manipur,351650,Dealer_4,Club soda,plastic,600ml,20,20959,2.01
4273,4273,31/12/15,Manipur,351650,Dealer_4,Litchi,plastic,250ml,15,43905,0.77
4274,4274,31/12/15,Manipur,351650,Dealer_4,Apple,plastic,250ml,20,25180,1.85
4275,4275,31/12/15,Manipur,351650,Dealer_4,Litchi,can,200ml,10,60301,0.42
4276,4276,31/12/15,Manipur,351650,Dealer_4,Mango,plastic,600ml,35,73238,0.49
4277,4277,31/12/15,Manipur,351650,Dealer_4,Mango,plastic,1.2lt,65,30400,1.2
4278,4278,31/12/15,Manipur,351650,Dealer_4,Mango,plastic,250ml,15,71337,0.31
4280,4280,31/12/15,Manipur,351650,Dealer_4,Lemon,plastic,250ml,10,21857,0.71
4281,4281,31/12/15,Assam,667237,Dealer_3,Zeera cola,plastic,200ml,12,6005,3.58
4282,4282,31/12/15,Assam,667237,Dealer_3,Zeera cola,can,300ml,20,12053,0.77
4283,4283,31/12/15,Assam,667237,Dealer_3,Mango,Tetra pak,200ml,10,8630,1.41
4284,4284,31/12/15,Assam,667237,Dealer_3,Club soda,plastic,600ml,20,10091,2.84
4286,4286,31/12/15,Assam,667237,Dealer_3,Litchi,plastic,250ml,15,25790,0.86
4287,4287,31/12/15,Assam,667237,Dealer_3,Apple,plastic,250ml,20,32389,1.04
4288,4288,31/12/15,Assam,667237,Dealer_3,Litchi,can,200ml,10,29325,0.48
4289,4289,31/12/15,Assam,667237,Dealer_3,Mango,plastic,600ml,35,9920,0.83
4290,4290,31/12/15,Assam,667237,Dealer_3,Mango,plastic,1.2lt,65,21786,0.98
4291,4291,31/12/15,Assam,667237,Dealer_3,Mango,plastic,250ml,15,38041,0.31
4292,4292,31/12/15,Assam,667237,Dealer_3,Lemon,plastic,600ml,20,12638,1.12
4295,4295,31/12/15,Meghalaya,141732,Dealer_5,Zeera cola,can,300ml,20,16655,0.81
4296,4296,31/12/15,Meghalaya,141732,Dealer_5,Mango,Tetra pak,200ml,10,36388,0.61
4297,4297,31/12/15,Meghalaya,141732,Dealer_5,Club soda,plastic,600ml,20,21864,1.39
4299,4299,31/12/15,Meghalaya,141732,Dealer_5,Litchi,plastic,250ml,15,37653,0.79
4300,4300,31/12/15,Meghalaya,141732,Dealer_5,Apple,plastic,250ml,20,18484,1.67
4301,4301,31/12/15,Meghalaya,141732,Dealer_5,Litchi,can,200ml,10,50054,0.43
4302,4302,31/12/15,Meghalaya,141732,Dealer_5,Mango,plastic,600ml,35,54149,0.56
4303,4303,31/12/15,Meghalaya,141732,Dealer_5,Mango,plastic,1.2lt,65,29920,0.87
4304,4304,31/12/15,Meghalaya,141732,Dealer_5,Mango,plastic,250ml,15,22026,0.42
4305,4305,31/12/15,Meghalaya,141732,Dealer_5,Lemon,plastic,600ml,20,18546,0.95
4307,4307,31/12/15,Meghalaya,141732,Dealer_5,Lemon,plastic,250ml,10,30952,0.46
4309,4309,31/12/15,Assam,667237,Dealer_1,Mango,plastic,600ml,35,17268,0.78
4310,4310,31/12/15,Assam,667237,Dealer_3,Lemon,plastic,250ml,10,9514,0.73
4311,4311,31/12/15,Manipur,351650,Dealer_4,Lemon,plastic,600ml,20,26043,0.97
4312,4312,31/12/15,Arunanchal,138560,Dealer_2,Apple,plastic,600ml,35,18240,1.26
4313,4313,31/12/15,Arunanchal,138560,Dealer_2,Club soda,plastic,600ml,20,23518,2.53
4314,4314,31/12/15,Arunanchal,138560,Dealer_2,Zeera cola,plastic,200ml,12,8084,4.14
4315,4315,31/12/15,Arunanchal,138560,Dealer_2,Litchi,can,200ml,10,43203,0.49
4316,4316,31/12/15,Meghalaya,141732,Dealer_5,Zeera cola,plastic,200ml,12,8781,3.53
4317,4317,31/12/15,Assam,667237,Dealer_1,Mango,Tetra pak,200ml,10,20969,1.14
4318,4318,31/12/15,Assam,667237,Dealer_3,Apple,plastic,600ml,35,12446,0.9
4319,4319,31/12/15,Arunanchal,138560,Dealer_2,Mango,plastic,250ml,15,61898,0.32
4320,4320,31/01/16,Assam,665102,Dealer_1,Zeera cola,plastic,200ml,12,7683,2.71
4321,4321,31/01/16,Assam,665102,Dealer_1,Zeera cola,can,300ml,20,10661,0.91
4322,4322,31/01/16,Assam,665102,Dealer_1,Mango,Tetra pak,200ml,10,23349,0.94
4323,4323,31/01/16,Assam,665102,Dealer_1,Club soda,plastic,600ml,20,12134,2.8
4324,4324,31/01/16,Assam,665102,Dealer_1,Litchi,plastic,250ml,15,28461,0.81
4325,4325,31/01/16,Assam,665102,Dealer_1,Apple,plastic,250ml,20,15531,1.63
4326,4326,31/01/16,Assam,665102,Dealer_1,Litchi,can,200ml,10,29667,0.52
4327,4327,31/01/16,Assam,665102,Dealer_1,Mango,plastic,600ml,35,27536,0.71
4328,4328,31/01/16,Assam,665102,Dealer_1,Mango,plastic,1.2lt,65,18688,1.28
4329,4329,31/01/16,Assam,665102,Dealer_1,Mango,plastic,250ml,15,22326,0.39
4330,4330,31/01/16,Assam,665102,Dealer_1,Lemon,plastic,600ml,20,9521,1.19
4332,4332,31/01/16,Assam,665102,Dealer_1,Lemon,plastic,250ml,10,16423,0.64
4333,4333,31/01/16,Arunanchal,137302,Dealer_2,Apple,plastic,600ml,35,12787,1.37
4334,4334,31/01/16,Arunanchal,137302,Dealer_2,Zeera cola,plastic,200ml,12,9823,3.24
4335,4335,31/01/16,Arunanchal,137302,Dealer_2,Zeera cola,can,300ml,20,18646,0.71
4336,4336,31/01/16,Arunanchal,137302,Dealer_2,Mango,Tetra pak,200ml,10,9447,1.57
4337,4337,31/01/16,Arunanchal,137302,Dealer_2,Club soda,plastic,600ml,20,15937.9,2.94
4339,4339,31/01/16,Arunanchal,137302,Dealer_2,Litchi,plastic,250ml,15,39030,0.6
4340,4340,31/01/16,Arunanchal,137302,Dealer_2,Apple,plastic,250ml,20,15561,2.16
4341,4341,31/01/16,Arunanchal,137302,Dealer_2,Mango,plastic,600ml,35,33488,0.7
4342,4342,31/01/16,Arunanchal,137302,Dealer_2,Mango,plastic,1.2lt,65,31753,1.06
4343,4343,31/01/16,Arunanchal,137302,Dealer_2,Mango,plastic,250ml,15,34200,0.37
4344,4344,31/01/16,Arunanchal,137302,Dealer_2,Lemon,plastic,600ml,20,17828,0.99
4346,4346,31/01/16,Arunanchal,137302,Dealer_2,Lemon,plastic,250ml,10,23701,0.55
4347,4347,31/01/16,Nagaland,168254,Dealer_6,Zeera cola,plastic,200ml,12,13553,3.06
4348,4348,31/01/16,Nagaland,168254,Dealer_6,Mango,Tetra pak,200ml,10,22075,1.2
4349,4349,31/01/16,Nagaland,168254,Dealer_6,Club soda,plastic,600ml,20,17318,2.7
4351,4351,31/01/16,Nagaland,168254,Dealer_6,Apple,plastic,250ml,20,22429,2.22
4352,4352,31/01/16,Nagaland,168254,Dealer_6,Litchi,can,200ml,10,42909,0.54
4353,4353,31/01/16,Nagaland,168254,Dealer_6,Mango,plastic,1.2lt,65,41660,0.95
4354,4354,31/01/16,Nagaland,168254,Dealer_6,Mango,plastic,250ml,15,26249,0.45
4355,4355,31/01/16,Nagaland,168254,Dealer_6,Lemon,plastic,600ml,20,18765,1.15
4356,4356,31/01/16,Manipur,351702,Dealer_4,Apple,plastic,600ml,35,15219,1.26
4357,4357,31/01/16,Manipur,351702,Dealer_4,Mango,Tetra pak,200ml,10,23563,1.02
4358,4358,31/01/16,Manipur,351702,Dealer_4,Club soda,plastic,600ml,20,12055,3.35
4360,4360,31/01/16,Manipur,351702,Dealer_4,Apple,plastic,250ml,20,25397,1.33
4361,4361,31/01/16,Manipur,351702,Dealer_4,Litchi,can,200ml,10,44117,0.41
4362,4362,31/01/16,Manipur,351702,Dealer_4,Mango,plastic,600ml,35,29888,0.7
4363,4363,31/01/16,Manipur,351702,Dealer_4,Mango,plastic,1.2lt,65,29608,1.18
4364,4364,31/01/16,Manipur,351702,Dealer_4,Mango,plastic,250ml,15,47868,0.31
4366,4366,31/01/16,Manipur,351702,Dealer_4,Lemon,plastic,250ml,10,23827,0.57
4367,4367,31/01/16,Assam,665102,Dealer_3,Apple,plastic,600ml,35,7824,1.4
4368,4368,31/01/16,Assam,665102,Dealer_3,Zeera cola,plastic,200ml,12,5903,3.38
4369,4369,31/01/16,Assam,665102,Dealer_3,Zeera cola,can,300ml,20,11728,0.54
4370,4370,31/01/16,Assam,665102,Dealer_3,Mango,Tetra pak,200ml,10,14476,1.11
4371,4371,31/01/16,Assam,665102,Dealer_3,Club soda,plastic,600ml,20,10487,2.49
4373,4373,31/01/16,Assam,665102,Dealer_3,Litchi,plastic,250ml,15,39631,0.24
4374,4374,31/01/16,Assam,665102,Dealer_3,Litchi,can,200ml,10,15564,0.59
4375,4375,31/01/16,Assam,665102,Dealer_3,Mango,plastic,600ml,35,16960,0.72
4376,4376,31/01/16,Assam,665102,Dealer_3,Mango,plastic,1.2lt,65,16134,1.17
4377,4377,31/01/16,Assam,665102,Dealer_3,Mango,plastic,250ml,15,25577,0.3
4378,4378,31/01/16,Assam,665102,Dealer_3,Lemon,plastic,600ml,20,6667,1.31
4380,4380,31/01/16,Assam,665102,Dealer_3,Lemon,plastic,250ml,10,19073,0.44
4381,4381,31/01/16,Meghalaya,142030,Dealer_5,Apple,plastic,600ml,35,9608,1.29
4382,4382,31/01/16,Meghalaya,142030,Dealer_5,Zeera cola,can,300ml,20,8010,1.05
4383,4383,31/01/16,Meghalaya,142030,Dealer_5,Mango,Tetra pak,200ml,10,18153,0.97
4384,4384,31/01/16,Meghalaya,142030,Dealer_5,Club soda,plastic,600ml,20,10882,2.71
4386,4386,31/01/16,Meghalaya,142030,Dealer_5,Litchi,plastic,250ml,15,17783,0.9
4387,4387,31/01/16,Meghalaya,142030,Dealer_5,Apple,plastic,250ml,20,22813,1.03
4388,4388,31/01/16,Meghalaya,142030,Dealer_5,Litchi,can,200ml,10,34504,0.44
4389,4389,31/01/16,Meghalaya,142030,Dealer_5,Mango,plastic,250ml,15,32431,0.35
4390,4390,31/01/16,Meghalaya,142030,Dealer_5,Lemon,plastic,600ml,20,7428,1.3
4392,4392,31/01/16,Meghalaya,142030,Dealer_5,Lemon,plastic,250ml,10,19581,0.51
4393,4393,31/01/16,Nagaland,168254,Dealer_6,Litchi,plastic,250ml,15,16065,1.11
4394,4394,31/01/16,Nagaland,168254,Dealer_6,Mango,plastic,600ml,35,50260,0.66
4395,4395,31/01/16,Nagaland,168254,Dealer_6,Lemon,plastic,250ml,10,29582,0.55
4396,4396,31/01/16,Manipur,351702,Dealer_4,Litchi,plastic,250ml,15,38181,0.81
4397,4397,31/01/16,Arunanchal,137302,Dealer_2,Litchi,can,200ml,10,25069,0.58
4398,4398,31/01/16,Manipur,351702,Dealer_4,Lemon,plastic,600ml,20,20680,1.09
4399,4399,31/01/16,Manipur,351702,Dealer_4,Zeera cola,plastic,200ml,12,9033,3.64
4400,4400,31/01/16,Meghalaya,142030,Dealer_5,Mango,plastic,600ml,35,13127,0.82
4402,4402,31/01/16,Nagaland,168254,Dealer_6,Zeera cola,can,300ml,20,13674,1.01
4404,4404,31/01/16,Manipur,351702,Dealer_4,Zeera cola,can,300ml,20,23834,0.58
4405,4405,31/01/16,Nagaland,168254,Dealer_6,Apple,plastic,600ml,35,17830,1.19
4406,4406,31/01/16,Meghalaya,142030,Dealer_5,Mango,plastic,1.2lt,65,33165,0.63
4407,4407,31/01/16,Meghalaya,142030,Dealer_5,Zeera cola,plastic,200ml,12,5862,3.03
4408,4408,31/01/16,Assam,665102,Dealer_1,Apple,plastic,600ml,35,9551,1.39
4409,4409,31/01/16,Assam,665102,Dealer_3,Apple,plastic,250ml,20,7546,2.38
4410,4410,29/02/16,Assam,665102,Dealer_1,Apple,plastic,600ml,35,6486,1.54
4411,4411,29/02/16,Assam,665102,Dealer_1,Zeera cola,plastic,200ml,12,5624,3.75
4412,4412,29/02/16,Assam,665102,Dealer_1,Club soda,plastic,600ml,20,6038,3.6
4413,4413,29/02/16,Assam,665102,Dealer_1,Litchi,plastic,250ml,15,17544,0.92
4414,4414,29/02/16,Assam,665102,Dealer_1,Apple,plastic,250ml,20,14002,1.82
4415,4415,29/02/16,Assam,665102,Dealer_1,Litchi,can,200ml,10,23151,0.51
4416,4416,29/02/16,Assam,665102,Dealer_1,Mango,plastic,1.2lt,65,12538,1.12
4417,4417,29/02/16,Assam,665102,Dealer_1,Mango,plastic,250ml,15,28285,0.35
4418,4418,29/02/16,Assam,665102,Dealer_1,Lemon,plastic,600ml,20,9079,1.18
4420,4420,29/02/16,Assam,665102,Dealer_1,Lemon,plastic,250ml,10,21295,0.51
4421,4421,29/02/16,Arunanchal,137302,Dealer_2,Apple,plastic,600ml,35,9060,1.49
4422,4422,29/02/16,Arunanchal,137302,Dealer_2,Zeera cola,plastic,200ml,12,6910,3.5
4423,4423,29/02/16,Arunanchal,137302,Dealer_2,Zeera cola,can,300ml,20,14561,0.5
4424,4424,29/02/16,Arunanchal,137302,Dealer_2,Mango,Tetra pak,200ml,10,15483,1.09
4425,4425,29/02/16,Arunanchal,137302,Dealer_2,Club soda,plastic,600ml,20,11815.1,2.18
4426,4426,29/02/16,Arunanchal,137302,Dealer_2,Apple,plastic,250ml,20,15145,1.96
4427,4427,29/02/16,Arunanchal,137302,Dealer_2,Litchi,can,200ml,10,26266,0.56
4428,4428,29/02/16,Arunanchal,137302,Dealer_2,Mango,plastic,600ml,35,36093,0.54
4429,4429,29/02/16,Arunanchal,137302,Dealer_2,Mango,plastic,1.2lt,65,23995,1.11
4430,4430,29/02/16,Arunanchal,137302,Dealer_2,Lemon,plastic,600ml,20,8564,1.24
4432,4432,29/02/16,Arunanchal,137302,Dealer_2,Lemon,plastic,250ml,10,5875,0.86
4433,4433,29/02/16,Nagaland,168254,Dealer_6,Apple,plastic,600ml,35,15780,1.34
4434,4434,29/02/16,Nagaland,168254,Dealer_6,Zeera cola,plastic,200ml,12,15155,1.88
4435,4435,29/02/16,Nagaland,168254,Dealer_6,Zeera cola,can,300ml,20,15948,0.7
4436,4436,29/02/16,Nagaland,168254,Dealer_6,Mango,Tetra pak,200ml,10,26743,0.91
4437,4437,29/02/16,Nagaland,168254,Dealer_6,Club soda,plastic,600ml,20,19248,1.9
4439,4439,29/02/16,Nagaland,168254,Dealer_6,Litchi,plastic,250ml,15,27110,0.98
4440,4440,29/02/16,Nagaland,168254,Dealer_6,Mango,plastic,600ml,35,43238,0.67
4441,4441,29/02/16,Nagaland,168254,Dealer_6,Mango,plastic,1.2lt,65,25184,1.14
4442,4442,29/02/16,Nagaland,168254,Dealer_6,Lemon,plastic,600ml,20,19792,1.05
4444,4444,29/02/16,Nagaland,168254,Dealer_6,Lemon,plastic,250ml,10,19990,0.61
4445,4445,29/02/16,Manipur,351702,Dealer_4,Apple,plastic,600ml,35,10952,1.31
4446,4446,29/02/16,Manipur,351702,Dealer_4,Zeera cola,plastic,200ml,12,10222,2.46
4447,4447,29/02/16,Manipur,351702,Dealer_4,Zeera cola,can,300ml,20,10268,0.9
4448,4448,29/02/16,Manipur,351702,Dealer_4,Mango,Tetra pak,200ml,10,16907,1.02
4449,4449,29/02/16,Manipur,351702,Dealer_4,Club soda,plastic,600ml,20,14099,2.6
4451,4451,29/02/16,Manipur,351702,Dealer_4,Apple,plastic,250ml,20,28459,1.13
4452,4452,29/02/16,Manipur,351702,Dealer_4,Litchi,can,200ml,10,22668,0.56
4453,4453,29/02/16,Manipur,351702,Dealer_4,Mango,plastic,600ml,35,23956,0.7
4454,4454,29/02/16,Manipur,351702,Dealer_4,Mango,plastic,1.2lt,65,26237,0.94
4455,4455,29/02/16,Manipur,351702,Dealer_4,Mango,plastic,250ml,15,25631,0.41
4456,4456,29/02/16,Manipur,351702,Dealer_4,Lemon,plastic,600ml,20,30291,0.61
4458,4458,29/02/16,Manipur,351702,Dealer_4,Lemon,plastic,250ml,10,29328,0.39
4459,4459,29/02/16,Assam,665102,Dealer_3,Zeera cola,plastic,200ml,12,4671,2.95
4460,4460,29/02/16,Assam,665102,Dealer_3,Zeera cola,can,300ml,20,6241,0.95
4461,4461,29/02/16,Assam,665102,Dealer_3,Club soda,plastic,600ml,20,11472,2.45
4463,4463,29/02/16,Assam,665102,Dealer_3,Litchi,plastic,250ml,15,15936,0.87
4464,4464,29/02/16,Assam,665102,Dealer_3,Apple,plastic,250ml,20,7659,2.29
4465,4465,29/02/16,Assam,665102,Dealer_3,Litchi,can,200ml,10,22207,0.4
4466,4466,29/02/16,Assam,665102,Dealer_3,Mango,plastic,600ml,35,19539,0.62
4467,4467,29/02/16,Assam,665102,Dealer_3,Mango,plastic,1.2lt,65,10983,1.33
4468,4468,29/02/16,Assam,665102,Dealer_3,Mango,plastic,250ml,15,9214,0.47
4469,4469,29/02/16,Assam,665102,Dealer_3,Lemon,plastic,600ml,20,6600,1.13
4471,4471,29/02/16,Assam,665102,Dealer_3,Lemon,plastic,250ml,10,7717,0.71
4472,4472,29/02/16,Meghalaya,142030,Dealer_5,Apple,plastic,600ml,35,15752,0.7
4473,4473,29/02/16,Meghalaya,142030,Dealer_5,Zeera cola,plastic,200ml,12,6564,3.33
4474,4474,29/02/16,Meghalaya,142030,Dealer_5,Zeera cola,can,300ml,20,9819,0.6
4475,4475,29/02/16,Meghalaya,142030,Dealer_5,Mango,Tetra pak,200ml,10,17492,0.94
4476,4476,29/02/16,Meghalaya,142030,Dealer_5,Club soda,plastic,600ml,20,15494,1.59
4478,4478,29/02/16,Meghalaya,142030,Dealer_5,Litchi,can,200ml,10,11527,0.65
4479,4479,29/02/16,Meghalaya,142030,Dealer_5,Mango,plastic,600ml,35,20862,0.63
4480,4480,29/02/16,Meghalaya,142030,Dealer_5,Mango,plastic,1.2lt,65,7516,1.54
4481,4481,29/02/16,Meghalaya,142030,Dealer_5,Mango,plastic,250ml,15,27552,0.33
4482,4482,29/02/16,Meghalaya,142030,Dealer_5,Lemon,plastic,600ml,20,9596,1.04
4484,4484,29/02/16,Meghalaya,142030,Dealer_5,Lemon,plastic,250ml,10,10113,0.65
4485,4485,29/02/16,Nagaland,168254,Dealer_6,Litchi,can,200ml,10,40129,0.45
4489,4489,29/02/16,Arunanchal,137302,Dealer_2,Mango,plastic,250ml,15,36850,0.31
4490,4490,29/02/16,Assam,665102,Dealer_3,Apple,plastic,600ml,35,8197,1.23
4491,4491,29/02/16,Meghalaya,142030,Dealer_5,Litchi,plastic,250ml,15,15217,0.89
4492,4492,29/02/16,Assam,665102,Dealer_1,Mango,plastic,600ml,35,27892,0.52
4493,4493,29/02/16,Arunanchal,137302,Dealer_2,Litchi,plastic,250ml,15,23651,0.58
4494,4494,29/02/16,Nagaland,168254,Dealer_6,Mango,plastic,250ml,15,24640,0.46
4495,4495,29/02/16,Assam,665102,Dealer_1,Zeera cola,can,300ml,20,9166,0.86
4496,4496,29/02/16,Meghalaya,142030,Dealer_5,Apple,plastic,250ml,20,12036,1.64
4497,4497,29/02/16,Nagaland,168254,Dealer_6,Apple,plastic,250ml,20,21867,1.97
4498,4498,29/02/16,Assam,665102,Dealer_3,Mango,Tetra pak,200ml,10,12361,0.94
4499,4499,29/02/16,Assam,665102,Dealer_1,Mango,Tetra pak,200ml,10,10671,1.27
4500,4500,31/03/16,Assam,665102,Dealer_1,Apple,plastic,600ml,35,12378,1.44
4501,4501,31/03/16,Assam,665102,Dealer_1,Zeera cola,plastic,200ml,12,8231,3.84
4502,4502,31/03/16,Assam,665102,Dealer_1,Zeera cola,can,300ml,20,16622,0.64
4503,4503,31/03/16,Assam,665102,Dealer_1,Mango,Tetra pak,200ml,10,17330,1.31
4504,4504,31/03/16,Assam,665102,Dealer_1,Litchi,plastic,250ml,15,25374,0.97
4505,4505,31/03/16,Assam,665102,Dealer_1,Apple,plastic,250ml,20,19555,2.13
4506,4506,31/03/16,Assam,665102,Dealer_1,Litchi,can,200ml,10,29866,0.57
4507,4507,31/03/16,Assam,665102,Dealer_1,Mango,plastic,600ml,35,40479,0.62
4508,4508,31/03/16,Assam,665102,Dealer_1,Mango,plastic,1.2lt,65,25607,1.2
4509,4509,31/03/16,Assam,665102,Dealer_1,Mango,plastic,250ml,15,43570,0.34
4510,4510,31/03/16,Assam,665102,Dealer_1,Lemon,plastic,600ml,20,17905,0.98
4512,4512,31/03/16,Arunanchal,137302,Dealer_2,Apple,plastic,600ml,35,11172,1.5
4513,4513,31/03/16,Arunanchal,137302,Dealer_2,Zeera cola,can,300ml,20,28977,0.4
4514,4514,31/03/16,Arunanchal,137302,Dealer_2,Mango,Tetra pak,200ml,10,23228,1.12
4515,4515,31/03/16,Arunanchal,137302,Dealer_2,Club soda,plastic,600ml,20,22643.5,2.22
4516,4516,31/03/16,Arunanchal,137302,Dealer_2,Litchi,plastic,250ml,15,35091,0.89
4517,4517,31/03/16,Arunanchal,137302,Dealer_2,Apple,plastic,250ml,20,18159,2.23
4518,4518,31/03/16,Arunanchal,137302,Dealer_2,Litchi,can,200ml,10,26873,0.63
4519,4519,31/03/16,Arunanchal,137302,Dealer_2,Mango,plastic,600ml,35,41553,0.68
